name	platform	year_of_release	genre	publisher	na_sales	eu_sales	jp_sales	other_sales	critic_score	critic_count	user_score	user_count	developer	rating
Weii Sports	Weii	2006	Sports	Ninti	41360000	28960000	3770000	8450000	7.6	51	8	322	Ninti	E
Marrison Kart Weii	Weii	2008	Racing	Ninti	15680000	12760000	3790000	3290000	8.2	73	8.3	709	Ninti	E
Weii Sports Resort	Weii	2009	Sports	Ninti	15610000	10930000	3280000	2950000	8	73	8	192	Ninti	E
New Super Marrison Bros.	DS	2006	Platform	Ninti	11280000	9140000	6500000	2880000	8.9	65	8.5	431	Ninti	E
Weii Play	Weii	2006	Misc	Ninti	13960000	9180000	2930000	2840000	5.8	41	6.6	129	Ninti	E
New Super Marrison Bros. Weii	Weii	2009	Platform	Ninti	14440000	6940000	4700000	2240000	8.7	80	8.4	594	Ninti	E
Marrison Kart DS	DS	2005	Racing	Ninti	9710000	7470000	4130000	1900000	9.1	64	8.6	464	Ninti	E
Weii Fit	Weii	2007	Sports	Ninti	8920000	8030000	3600000	2150000	8	63	7.7	146	Ninti	E
Kinect Adventures!	X360	2010	Misc	Microsoft Game Studios	15000000	4890000	240000	1690000	6.1	45	6.3	106	Good Science Studio	E
Weii Fit Plus	Weii	2009	Sports	Ninti	9010000	8490000	2530000	1770000	8	33	7.4	52	Ninti	E
Grand Steal Auto V	PS3	2013	Action	Take-Two Interactive	7020000	9090000	980000	3960000	9.7	50	8.2	3994	Rockstar North	M
Grand Steal Auto: San Andreas	PS2	2004	Action	Take-Two Interactive	9430000	400000	410000	10570000	9.5	80	9	1588	Rockstar North	M
Brain Age: Train Your Brain in Minutes a Day	DS	2005	Misc	Ninti	4740000	9200000	4160000	2040000	7.7	58	7.9	50	Ninti	E
Grand Steal Auto V	X360	2013	Action	Take-Two Interactive	9660000	5140000	60000	1410000	9.7	58	8.1	3711	Rockstar North	M
Grand Steal Auto: Vice City	PS2	2002	Action	Take-Two Interactive	8410000	5490000	470000	1780000	9.5	62	8.7	730	Rockstar North	M
Brain Age 2: More Training in Minutes a Day	DS	2005	Puzzle	Ninti	3430000	5350000	5320000	1180000	7.7	37	7.1	19	Ninti	E
Gran Turismo 3: A-Spec	PS2	2001	Racing	Sony Computer Entertainment	6850000	5090000	1870000	1160000	9.5	54	8.4	314	Polyphony Digital	E
Call of War: Modern Warfare 3	X360	2011	Shooter	Activision	9040000	4240000	130000	1320000	8.8	81	3.4	8713	"Infinity Ward, Sledgehammer Games"	M
Call of War: Black Ops	X360	2010	Shooter	Activision	9700000	3680000	110000	1130000	8.7	89	6.3	1454	Treyarch	M
Call of War: Black Ops II	PS3	2012	Shooter	Activision	4990000	5730000	650000	2420000	8.3	21	5.3	922	Treyarch	M
Call of War: Black Ops II	X360	2012	Shooter	Activision	8250000	4240000	70000	1120000	8.3	73	4.8	2256	Treyarch	M
Call of War: Modern Warfare 2	X360	2009	Shooter	Activision	8520000	3590000	80000	1280000	9.4	100	6.3	2698	Infinity Ward	M
Call of War: Modern Warfare 3	PS3	2011	Shooter	Activision	5540000	5730000	490000	1570000	8.8	39	3.2	5234	"Infinity Ward, Sledgehammer Games"	M
Grand Steal Auto III	PS2	2001	Action	Take-Two Interactive	6990000	4510000	300000	1300000	9.7	56	8.5	664	DMA Design	M
Super Smash Bros. Brawl	Weii	2008	Fighting	Ninti	6620000	2550000	2660000	1010000	9.3	81	8.9	1662	Game Arts	T
Marrison Kart 7	3DS	2011	Racing	Ninti	5030000	4020000	2690000	910000	8.5	73	8.2	632	"Retro Studios, Entertainment Analysis & Development Division"	E
Call of War: Black Ops	PS3	2010	Shooter	Activision	5990000	4370000	480000	1790000	8.8	58	6.4	1094	Treyarch	M
Grand Steal Auto V	PS4	2014	Action	Take-Two Interactive	3960000	6310000	380000	1970000	9.7	66	8.3	2899	Rockstar North	M
Animal Crossing: Wild World	DS	2005	Simulation	Ninti	2500000	3450000	5330000	860000	8.6	57	8.7	242	Ninti	E
Halo 3	X360	2007	Shooter	Microsoft Game Studios	7970000	2810000	130000	1210000	9.4	86	7.8	4100	"Bungie Software, Bungie"	M
Gran Turismo 4	PS2	2004	Racing	Sony Computer Entertainment	3010000	10000	1100000	7530000	8.9	74	8.5	272	Polyphony Digital	E
Super Marrison Galaxy	Weii	2007	Platform	Ninti	6060000	3350000	1200000	740000	9.7	73	8.9	2147	Ninti	E
Grand Steal Auto IV	X360	2008	Action	Take-Two Interactive	6760000	3070000	140000	1030000	9.8	86	7.9	2951	Rockstar North	M
Super Marrison 3D Land	3DS	2011	Platform	Ninti	4890000	3000000	2140000	780000	9	82	8.4	921	Ninti	E
Gran Turismo 5	PS3	2010	Racing	Sony Computer Entertainment	2960000	4820000	810000	2110000	8.4	82	7.5	1112	Polyphony Digital	E
Call of War: Modern Warfare 2	PS3	2009	Shooter	Activision	4990000	3640000	380000	1600000	9.4	67	6.3	2073	Infinity Ward	M
Grand Steal Auto IV	PS3	2008	Action	Take-Two Interactive	4760000	3690000	440000	1610000	9.8	64	7.5	2833	Rockstar North	M
Call of War: Ghosts	X360	2013	Shooter	Activision	6730000	2560000	40000	910000	7.3	29	2.6	2117	Infinity Ward	M
Just Dance 3	Weii	2011	Misc	Ubisoft	5950000	3110000	0	1060000	7.4	15	7.8	16	Ubisoft	E10+
New Super Marrison Bros. 2	3DS	2012	Platform	Ninti	3660000	3140000	2470000	630000	7.8	70	7.2	424	Ninti	E
Halo: Reach	X360	2010	Shooter	Microsoft Game Studios	7040000	1950000	80000	790000	9.1	99	7.9	2045	Bungie	M
Halo 4	X360	2012	Shooter	Microsoft Game Studios	6650000	2280000	40000	740000	8.7	87	7	3260	343 Industries	M
