Country Name	Country Code	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Aruba	ABW	80324	83200	85451	87277	89005	90853	92898	94992	97017	98737	100031	100832	101220	101353	101453	101669	102053	102577	103187	103795	104341	104822	105264
Afghanistan	AFG	17099541	17822884	18381605	18863999	19403676	20093756	20966463	21979923	23064851	24118979	25070798	25893450	26616792	27294031	28004331	28803167	29708599	30696958	31731688	32758020	33736494	34656032	35530081
Angola	AGO	14268994	14682284	15088981	15504318	15949766	16440924	16983266	17572649	18203369	18865716	19552542	20262399	20997687	21759420	22549547	23369131	24218565	25096150	25998340	26920466	27859305	28813463	29784193
Albania	ALB	3187784	3168033	3148281	3128530	3108778	3089027	3060173	3051010	3039616	3026939	3011487	2992547	2970017	2947314	2927519	2913021	2905195	2900401	2895092	2889104	2880703	2876101	2873457
Andorra	AND	63850	64360	64327	64142	64370	65390	67341	70049	73182	76244	78867	80991	82683	83861	84462	84449	83751	82431	80788	79223	78014	77281	76965
Arab World	ARB	255029671	260843462	266575075	272235146	277962869	283832016	289850357	296026575	302434519	309162029	316264728	323773264	331653797	339825483	348145094	356508908	364895878	373306993	381702086	390043028	398304960	406452690	414491886
United Arab Emirates	ARE	2448820	2571020	2700010	2838145	2988162	3154925	3326032	3507232	3741932	4087931	4579562	5242032	6044067	6894278	7666393	8270684	8672475	8900453	9006263	9070867	9154302	9269612	9400145
Argentina	ARG	34994814	35419682	35833969	36241590	36648068	37057452	37471509	37889370	38309379	38728696	39145488	39558890	39970224	40382389	40799407	41223889	41656879	42096739	42539925	42981515	43417765	43847430	44271041
Armenia	ARM	3217342	3168215	3133086	3108684	3089017	3069588	3050655	3033897	3017806	3000612	2981259	2958500	2933056	2908220	2888584	2877311	2875581	2881922	2893509	2906220	2916950	2924816	2930450
American Samoa	ASM	52868	53929	54941	55901	56770	57521	58175	58731	59117	59264	59118	58650	57903	57030	56227	55637	55320	55230	55307	55437	55537	55599	55641
Antigua and Barbuda	ATG	73619	75628	77739	79851	81831	83584	85057	86266	87293	88257	89253	90301	91381	92478	93581	94661	95719	96777	97824	98875	99923	100963	102012
